,AssessmentName,PerfomanceBand,assess_n,perf_n,pband_percent
1,TX_MAT_Algebra2_S24_FE,Approaches,3381,795,0.235137533
2,TX_MAT_Algebra2_S24_FE,Masters,3381,390,0.115350488
3,TX_MAT_Algebra2_S24_FE,Meets,3381,375,0.110913931
7,TX_MAT_Geometry_S24_FE,Approaches,4541,906,0.199515525
6,TX_MAT_Geometry_S24_FE,Masters,4541,616,0.13565294
4,TX_MAT_Geometry_S24_FE,Meets,4541,533,0.117375028
8,TX_MAT_Pre-Calculus_S24_FE,Approaches,893,159,0.178051512
9,TX_MAT_Pre-Calculus_S24_FE,Masters,893,37,0.041433371
5,TX_MAT_Pre-Calculus_S24_FE,Meets,893,52,0.058230683
