"","SchoolYear","NCES_District_ID","StudentID","School","Grade.Level","Student.Number","Class.Year","Class.Cohort","Test.Date","Grade.Level.Taken","English","Mathematics","Reading","Science","Composite","Writing","STEM","ELA","Exam.Number","Highest.Composite","Highest.English","Highest.Mathematics","Highest.Reading","Highest.Science","Growth.Previous.Exam","Number.Exams.Taken","max_Test.Date"
"165","2023-2024",108807005,108024604,"San Benito",12,108024604,2024,"Seniors","6/1/2023",11,25,23,29,22,25,NA,23,NA,6,25,25,23,29,24,1,7,"6/1/2023"
"166","2023-2024",108807005,108058651,"San Benito",12,108058651,2024,"Seniors","4/1/2023",11,13,14,12,14,13,NA,14,NA,5,13,13,14,12,16,1,6,"4/1/2023"
"167","2023-2024",108807005,108069538,"San Benito",12,108069538,2024,"Seniors","4/1/2023",11,14,15,16,17,16,NA,16,NA,5,16,20,16,18,18,0,6,"4/1/2023"
"168","2023-2024",108807005,108088622,"San Benito",12,108088622,2024,"Seniors","4/1/2023",11,12,16,16,16,15,NA,16,NA,5,15,15,16,16,16,1,6,"4/1/2023"
"169","2023-2024",108807005,108025419,"San Benito",12,108025419,2024,"Seniors","4/1/2023",11,10,16,19,16,15,NA,16,NA,5,16,15,17,19,18,1,6,"4/1/2023"
"170","2023-2024",108807005,108069545,"San Benito",12,108069545,2024,"Seniors","4/1/2023",11,17,15,17,14,16,NA,15,NA,5,17,19,16,18,18,1,6,"4/1/2023"
"171","2023-2024",108807005,108040158,"San Benito",12,108040158,2024,"Seniors","4/1/2023",11,16,16,16,16,16,NA,16,NA,4,17,18,17,22,16,1,5,"4/1/2023"
"172","2023-2024",108807005,108072817,"San Benito",12,108072817,2024,"Seniors","4/1/2023",11,14,17,17,20,17,NA,19,NA,5,20,20,18,22,24,-2,6,"4/1/2023"
"173","2023-2024",108807005,108034823,"San Benito",12,108034823,2024,"Seniors","4/1/2023",11,19,18,20,19,19,NA,19,NA,5,19,22,18,21,19,1,6,"4/1/2023"
"174","2023-2024",108807005,108040255,"San Benito",12,108040255,2024,"Seniors","4/1/2023",11,16,16,16,14,16,NA,15,NA,5,17,17,19,16,19,2,6,"4/1/2023"
"175","2023-2024",108807005,108149614,"San Benito",12,108149614,2024,"Seniors","6/1/2023",11,16,15,13,17,15,NA,16,NA,3,17,17,18,16,20,-2,4,"6/1/2023"
"176","2023-2024",108807005,108048664,"San Benito",12,108048664,2024,"Seniors","4/1/2023",11,14,16,12,18,15,NA,17,NA,5,15,14,18,18,18,1,6,"4/1/2023"
"177","2023-2024",108807005,108025383,"San Benito",12,108025383,2024,"Seniors","4/1/2023",11,20,22,18,23,21,NA,23,NA,5,21,22,24,22,23,3,6,"4/1/2023"
"178","2023-2024",108807005,108082903,"San Benito",12,108082903,2024,"Seniors","4/1/2022",10,11,15,13,17,14,NA,16,NA,1,14,12,16,14,17,NA,5,"4/1/2022"
"179","2023-2024",108807005,108025440,"San Benito",12,108025440,2024,"Seniors","7/1/2023",12,24,24,26,21,24,NA,23,NA,6,24,28,24,30,24,1,7,"7/1/2023"
"180","2023-2024",108807005,108036601,"San Benito",12,108036601,2024,"Seniors","10/1/2022",11,20,16,16,17,17,3,17,13,1,17,20,16,16,17,NA,1,"10/1/2022"
"181","2023-2024",108807005,108069541,"San Benito",12,108069541,2024,"Seniors","4/1/2023",11,32,25,29,25,28,NA,25,NA,5,28,32,25,30,25,4,6,"4/1/2023"
"182","2023-2024",108807005,108069544,"San Benito",12,108069544,2024,"Seniors","6/1/2023",11,13,15,16,15,15,NA,15,NA,5,16,16,16,19,18,-1,6,"6/1/2023"
"183","2023-2024",108807005,108244740,"San Benito",12,108244740,2024,"Seniors","10/1/2023",12,19,18,26,20,21,7,19,21,1,21,19,18,26,20,NA,1,"10/1/2023"
"184","2023-2024",108807005,108070171,"San Benito",12,108070171,2024,"Seniors","4/1/2023",11,21,20,18,20,20,NA,20,NA,5,20,22,22,20,24,0,6,"4/1/2023"
"185","2023-2024",108807005,108082914,"San Benito",12,108082914,2024,"Seniors","4/1/2023",11,15,15,16,14,15,NA,15,NA,5,18,15,17,17,21,1,6,"4/1/2023"
"186","2023-2024",108807005,108025434,"San Benito",12,108025434,2024,"Seniors","4/1/2022",10,16,17,21,16,18,NA,17,NA,1,19,19,19,21,22,NA,3,"4/1/2022"
"187","2023-2024",108807005,108038792,"San Benito",12,108038792,2024,"Seniors","4/1/2023",11,14,18,12,18,16,NA,18,NA,5,18,15,18,17,23,-2,6,"4/1/2023"
