"","EmployeeID","TCPPlacementLevel","CompositeScore"
"1",61028,4,4.6
"2",18298,3,4.54
"3",90917,3,4.02
"4",91118,3,3.34
"5",91181,3,2.84
"6",91984,3,3.21
"7",92011,3,3.79
"8",92139,4,3.5
"9",94642,NA,NA
