"","school_year","local_student_id","subject_code","test_version","scale_score","performance_level"
"1","2023-2024","108232423","Algebra I","S",3400,"Did not meet"
"2","2023-2024","108248122","Algebra I","S",3865,"Approaches"
"3","2023-2024","108240602","Algebra I","S",3720,"Approaches"
"4","2023-2024","108060112","Algebra I","S",3901,"Approaches"
"5","2023-2024","108235952","Algebra I","S",3794,"Approaches"
"6","2023-2024","108248123","Algebra I","S",4622,"Masters"
"7","2023-2024","108234457","Algebra I","S",4153,"Meets"
"8","2023-2024","108234457","Algebra I","S",4153,"Meets"
"9","2023-2024","108233642","Algebra I","S",3865,"Approaches"
"10","2023-2024","108236887","Algebra I","S",4080,"Meets"
"11","2023-2024","108236887","Algebra I","S",4080,"Meets"
"12","2023-2024","108240605","Algebra I","S",3937,"Approaches"
"13","2023-2024","108240605","Algebra I","S",3937,"Approaches"
"14","2023-2024","108237649","Algebra I","S",3901,"Approaches"
"15","2023-2024","108244629","Algebra I","S",5235,"Masters"
"16","2023-2024","108244629","Algebra I","S",5235,"Masters"
"17","2023-2024","108233643","Algebra I","S",3720,"Approaches"
"18","2023-2024","108253827","Algebra I","S",3830,"Approaches"
"19","2023-2024","108234437","Algebra I","S",3683,"Approaches"
"20","2023-2024","108188392","Algebra I","S",3550,"Approaches"
"21","2023-2024","108049401","Algebra I","S",4153,"Meets"
"22","2023-2024","108233638","Algebra I","S",3444,"Did not meet"
"23","2023-2024","108233638","Algebra I","S",3444,"Did not meet"
"24","2023-2024","108051990","Algebra I","S",4153,"Meets"
"25","2023-2024","108039443","Algebra I","S",4000,"Meets"
"26","2023-2024","108062896","Algebra I","S",3901,"Approaches"
"27","2023-2024","108051681","Algebra I","S",3830,"Approaches"
"28","2023-2024","108100627","Algebra I","S",4190,"Meets"
"29","2023-2024","108051030","Algebra I","S",4153,"Meets"
"30","2023-2024","108137632","Algebra I","S",4190,"Meets"
"31","2023-2024","108074619","Algebra I","S",3865,"Approaches"
"32","2023-2024","108081290","Algebra I","S",4267,"Meets"
"33","2023-2024","108051575","Algebra I","S",3972,"Approaches"
"34","2023-2024","108039548","Algebra I","S",4267,"Meets"
"35","2023-2024","108246236","Algebra I","S",4476,"Masters"
"36","2023-2024","108251988","Algebra I","S",4388,"Masters"
"37","2023-2024","108038467","Algebra I","S",4306,"Meets"
"38","2023-2024","108053563","Algebra I","S",4734,"Masters"
"39","2023-2024","108039476","Algebra I","S",4044,"Meets"
"40","2023-2024","108052513","Algebra I","S",4267,"Meets"
"41","2023-2024","108078678","Algebra I","S",4228,"Meets"
"42","2023-2024","108050059","Algebra I","S",4622,"Masters"
"43","2023-2024","108146603","Algebra I","S",4796,"Masters"
"44","2023-2024","108185730","Algebra I","S",4796,"Masters"
"45","2023-2024","108047967","Algebra I","S",4734,"Masters"
"46","2023-2024","108070210","Algebra I","S",4345,"Masters"
"47","2023-2024","108146604","Algebra I","S",3830,"Approaches"
"48","2023-2024","108040588","Algebra I","S",5022,"Masters"
"49","2023-2024","108038674","Algebra I","S",3645,"Approaches"
"50","2023-2024","108040613","Algebra I","S",4000,"Meets"
"51","2023-2024","108053178","Algebra I","S",4000,"Meets"
"52","2023-2024","108038751","Algebra I","S",4228,"Meets"
"53","2023-2024","108039493","Algebra I","S",4476,"Masters"
"54","2023-2024","108039449","Algebra I","S",5380,"Masters"
"55","2023-2024","108052199","Algebra I","S",3830,"Approaches"
"56","2023-2024","108078932","Algebra I","S",3683,"Approaches"
"57","2023-2024","108052222","Algebra I","S",4267,"Meets"
"58","2023-2024","108194873","Algebra I","S",4080,"Meets"
"59","2023-2024","108052008","Algebra I","S",3830,"Approaches"
"60","2023-2024","108048505","Algebra I","S",3865,"Approaches"
"61","2023-2024","108053073","Algebra I","S",5235,"Masters"
"62","2023-2024","108053149","Algebra I","S",3757,"Approaches"
"63","2023-2024","108234059","Algebra I","S",4345,"Masters"
"64","2023-2024","108185732","Algebra I","S",3486,"Did not meet"
"65","2023-2024","108084865","Algebra I","S",6430,"Masters"
"66","2023-2024","108101648","Algebra I","S",4388,"Masters"
"67","2023-2024","108053383","Algebra I","S",4345,"Masters"
"68","2023-2024","108050097","Algebra I","S",3865,"Approaches"
"69","2023-2024","108085928","Algebra I","S",3720,"Approaches"
"70","2023-2024","108142759","Algebra I","S",4863,"Masters"
"71","2023-2024","108053020","Algebra I","S",4116,"Meets"
"72","2023-2024","108052152","Algebra I","S",3972,"Approaches"
"73","2023-2024","108052555","Algebra I","S",4622,"Masters"
"74","2023-2024","108052036","Algebra I","S",4431,"Masters"
"75","2023-2024","108051071","Algebra I","S",5579,"Masters"
"76","2023-2024","108050778","Algebra I","S",4476,"Masters"
"77","2023-2024","108053614","Algebra I","S",3486,"Did not meet"
"78","2023-2024","108053187","Algebra I","S",4153,"Meets"
"79","2023-2024","108201865","Algebra I","S",4116,"Meets"
"80","2023-2024","108039456","Algebra I","S",4044,"Meets"
"81","2023-2024","108187418","Algebra I","S",4153,"Meets"
"82","2023-2024","108185725","Algebra I","S",3645,"Approaches"
"83","2023-2024","108137631","Algebra I","S",4000,"Meets"
"84","2023-2024","108137636","Algebra I","S",4306,"Meets"
"85","2023-2024","108051315","Algebra I","S",4153,"Meets"
"86","2023-2024","108083025","Algebra I","S",4228,"Meets"
"87","2023-2024","108050039","Algebra I","S",4676,"Masters"
"88","2023-2024","108053142","Algebra I","S",4153,"Meets"
"89","2023-2024","108244798","Algebra I","S",3645,"Approaches"
"90","2023-2024","108050983","Algebra I","S",3683,"Approaches"
"91","2023-2024","108038777","Algebra I","S",4796,"Masters"
"92","2023-2024","108053461","Algebra I","S",4522,"Masters"
"93","2023-2024","108137633","Algebra I","S",4345,"Masters"
"94","2023-2024","108048604","Algebra I","S",4938,"Masters"
"95","2023-2024","108048604","Algebra I","S",4938,"Masters"
"96","2023-2024","108048604","Algebra I","S",4938,"Masters"
"97","2023-2024","108185734","Algebra I","S",3444,"Did not meet"
"98","2023-2024","108185734","Algebra I","S",3444,"Did not meet"
"99","2023-2024","108242778","Algebra I","S",3972,"Approaches"
"100","2023-2024","108089448","Algebra I","S",3830,"Approaches"
"101","2023-2024","108049158","Algebra I","S",4734,"Masters"
"102","2023-2024","108161649","Algebra I","S",3794,"Approaches"
"103","2023-2024","108152931","Algebra I","S",4734,"Masters"
"104","2023-2024","108049032","Algebra I","S",3489,"Did not meet"
"105","2023-2024","108053060","Algebra I","S",4734,"Masters"
"106","2023-2024","108137630","Algebra I","S",4000,"Meets"
"107","2023-2024","108234056","Algebra I","S",3757,"Approaches"
"108","2023-2024","108050777","Algebra I","S",4306,"Meets"
"109","2023-2024","108234066","Algebra I","S",3607,"Approaches"
"110","2023-2024","108201863","Algebra I","S",3645,"Approaches"
"111","2023-2024","108201863","Algebra I","S",3645,"Approaches"
"112","2023-2024","108201863","Algebra I","S",3645,"Approaches"
"113","2023-2024","108037372","Algebra I","S",3937,"Approaches"
"114","2023-2024","108057962","Algebra I","S",4153,"Meets"
"115","2023-2024","108198273","Algebra I","S",4388,"Masters"
"116","2023-2024","108086329","Algebra I","S",4431,"Masters"
"117","2023-2024","108051290","Algebra I","S",4306,"Meets"
"118","2023-2024","108066995","Algebra I","S",6430,"Masters"
"119","2023-2024","108078670","Algebra I","S",5022,"Masters"
"120","2023-2024","108060362","Algebra I","S",3444,"Did not meet"
"121","2023-2024","108163304","Algebra I","S",3901,"Approaches"
"122","2023-2024","108040823","Algebra I","S",4863,"Masters"
"123","2023-2024","108053528","Algebra I","S",5119,"Masters"
"124","2023-2024","108072787","Algebra I","S",4622,"Masters"
"125","2023-2024","108241973","Algebra I","S",4571,"Masters"
"126","2023-2024","108040616","Algebra I","S",4431,"Masters"
"127","2023-2024","108234051","Algebra I","S",4431,"Masters"
"128","2023-2024","108053188","Algebra I","S",4571,"Masters"
"129","2023-2024","108053188","Algebra I","S",4571,"Masters"
"130","2023-2024","108244722","Algebra I","S",4431,"Masters"
"131","2023-2024","108052203","Algebra I","S",5235,"Masters"
"132","2023-2024","108038752","Algebra I","S",6430,"Masters"
"133","2023-2024","108243035","Algebra I","S",4080,"Meets"
"134","2023-2024","108234048","Algebra I","S",3607,"Approaches"
"135","2023-2024","108137644","Algebra I","S",5380,"Masters"
"136","2023-2024","108052784","Algebra I","S",4796,"Masters"
"137","2023-2024","108053700","Algebra I","S",4116,"Meets"
"138","2023-2024","108053625","Algebra I","S",4190,"Meets"
"139","2023-2024","108052090","Algebra I","S",5235,"Masters"
"140","2023-2024","108051040","Algebra I","S",3683,"Approaches"
"141","2023-2024","108126448","Algebra I","S",3645,"Approaches"
"142","2023-2024","108063145","Algebra I","S",4044,"Meets"
"143","2023-2024","108052763","Algebra I","S",5235,"Masters"
"144","2023-2024","108052763","Algebra I","S",5235,"Masters"
"145","2023-2024","108209952","Algebra I","S",3486,"Did not meet"
"146","2023-2024","108137075","Algebra I","S",4306,"Meets"
"147","2023-2024","108137075","Algebra I","S",4306,"Meets"
"148","2023-2024","108052346","Algebra I","S",4938,"Masters"
"149","2023-2024","108052346","Algebra I","S",4938,"Masters"
"150","2023-2024","108237287","Algebra I","S",3830,"Approaches"
"151","2023-2024","108237287","Algebra I","S",3830,"Approaches"
"152","2023-2024","108240649","Algebra I","S",4734,"Masters"
"153","2023-2024","108240649","Algebra I","S",4734,"Masters"
"154","2023-2024","108062954","Algebra I","S",4000,"Meets"
"155","2023-2024","108062954","Algebra I","S",4000,"Meets"
"156","2023-2024","108085300","Algebra I","S",3901,"Approaches"
"157","2023-2024","108179369","Algebra I","S",3683,"Approaches"
"158","2023-2024","108179369","Algebra I","S",3683,"Approaches"
"159","2023-2024","108047919","Algebra I","S",4622,"Masters"
"160","2023-2024","108047919","Algebra I","S",4622,"Masters"
"161","2023-2024","108053514","Algebra I","S",4306,"Meets"
"162","2023-2024","108053514","Algebra I","S",4306,"Meets"
"163","2023-2024","108052776","Algebra I","S",4044,"Meets"
"164","2023-2024","108052776","Algebra I","S",4044,"Meets"
"165","2023-2024","108051296","Algebra I","S",4153,"Meets"
"166","2023-2024","108051296","Algebra I","S",4153,"Meets"
"167","2023-2024","108095926","Algebra I","S",4000,"Meets"
"168","2023-2024","108095926","Algebra I","S",4000,"Meets"
"169","2023-2024","108047373","Algebra I","S",3937,"Approaches"
"170","2023-2024","108047373","Algebra I","S",3937,"Approaches"
"171","2023-2024","108048561","Algebra I","S",4345,"Masters"
"172","2023-2024","108048561","Algebra I","S",4345,"Masters"
"173","2023-2024","108137071","Algebra I","S",3937,"Approaches"
"174","2023-2024","108137071","Algebra I","S",3937,"Approaches"
"175","2023-2024","108049092","Algebra I","S",3794,"Approaches"
"176","2023-2024","108049092","Algebra I","S",3794,"Approaches"
"177","2023-2024","108232204","Algebra I","S",3489,"Did not meet"
"178","2023-2024","108232204","Algebra I","S",3489,"Did not meet"
"179","2023-2024","108048096","Algebra I","S",3937,"Approaches"
"180","2023-2024","108048096","Algebra I","S",3937,"Approaches"
"181","2023-2024","108052263","Algebra I","S",3972,"Approaches"
"182","2023-2024","108052263","Algebra I","S",3972,"Approaches"
"183","2023-2024","108194735","Algebra I","S",4190,"Meets"
"184","2023-2024","108194735","Algebra I","S",4190,"Meets"
"185","2023-2024","108048351","Algebra I","S",3830,"Approaches"
"186","2023-2024","108048351","Algebra I","S",3830,"Approaches"
"187","2023-2024","108063965","Algebra I","S",3720,"Approaches"
"188","2023-2024","108063965","Algebra I","S",3720,"Approaches"
"189","2023-2024","108049856","Algebra I","S",3830,"Approaches"
"190","2023-2024","108049856","Algebra I","S",3830,"Approaches"
"191","2023-2024","108082084","Algebra I","S",4571,"Masters"
"192","2023-2024","108082084","Algebra I","S",4571,"Masters"
"193","2023-2024","108089748","Algebra I","S",4863,"Masters"
"194","2023-2024","108089748","Algebra I","S",4863,"Masters"
"195","2023-2024","108089748","Algebra I","S",4863,"Masters"
"196","2023-2024","108089748","Algebra I","S",4863,"Masters"
"197","2023-2024","108048514","Algebra I","S",4080,"Meets"
"198","2023-2024","108048514","Algebra I","S",4080,"Meets"
"199","2023-2024","108049955","Algebra I","S",3683,"Approaches"
"200","2023-2024","108049955","Algebra I","S",3683,"Approaches"
"201","2023-2024","108048527","Algebra I","S",5022,"Masters"
"202","2023-2024","108048527","Algebra I","S",5022,"Masters"
"203","2023-2024","108137072","Algebra I","S",3901,"Approaches"
"204","2023-2024","108137072","Algebra I","S",3901,"Approaches"
"205","2023-2024","108053300","Algebra I","S",3972,"Approaches"
"206","2023-2024","108053300","Algebra I","S",3972,"Approaches"
"207","2023-2024","108179388","Algebra I","S",3486,"Did not meet"
"208","2023-2024","108179388","Algebra I","S",3486,"Did not meet"
"209","2023-2024","108232211","Algebra I","S",3607,"Approaches"
"210","2023-2024","108232211","Algebra I","S",3607,"Approaches"
"211","2023-2024","108232184","Algebra I","S",4571,"Masters"
"212","2023-2024","108232184","Algebra I","S",4571,"Masters"
"213","2023-2024","108049161","Algebra I","S",4228,"Meets"
"214","2023-2024","108049161","Algebra I","S",4228,"Meets"
"215","2023-2024","108049232","Algebra I","S",4388,"Masters"
"216","2023-2024","108049232","Algebra I","S",4388,"Masters"
"217","2023-2024","108179398","Algebra I","S",4796,"Masters"
"218","2023-2024","108179398","Algebra I","S",4796,"Masters"
"219","2023-2024","108137063","Algebra I","S",3937,"Approaches"
"220","2023-2024","108137063","Algebra I","S",3937,"Approaches"
"221","2023-2024","108048764","Algebra I","S",4571,"Masters"
"222","2023-2024","108048764","Algebra I","S",4571,"Masters"
"223","2023-2024","108110521","Algebra I","S",4476,"Masters"
"224","2023-2024","108110521","Algebra I","S",4476,"Masters"
"225","2023-2024","108053021","Algebra I","S",4388,"Masters"
"226","2023-2024","108053021","Algebra I","S",4388,"Masters"
"227","2023-2024","108160800","Algebra I","S",4571,"Masters"
"228","2023-2024","108160800","Algebra I","S",4571,"Masters"
"229","2023-2024","108113347","Algebra I","S",4388,"Masters"
"230","2023-2024","108113347","Algebra I","S",4388,"Masters"
"231","2023-2024","108062227","Algebra I","S",4476,"Masters"
"232","2023-2024","108062227","Algebra I","S",4476,"Masters"
"233","2023-2024","108075040","Algebra I","S",4228,"Meets"
"234","2023-2024","108075040","Algebra I","S",4228,"Meets"
"235","2023-2024","108050566","Algebra I","S",4116,"Meets"
"236","2023-2024","108050566","Algebra I","S",4116,"Meets"
"237","2023-2024","108048951","Algebra I","S",4734,"Masters"
"238","2023-2024","108048951","Algebra I","S",4734,"Masters"
"239","2023-2024","108137073","Algebra I","S",4676,"Masters"
"240","2023-2024","108137073","Algebra I","S",4676,"Masters"
"241","2023-2024","108095996","Algebra I","S",4476,"Masters"
"242","2023-2024","108095996","Algebra I","S",4476,"Masters"
"243","2023-2024","108061458","Algebra I","S",4863,"Masters"
"244","2023-2024","108061458","Algebra I","S",4863,"Masters"
"245","2023-2024","108232226","Algebra I","S",4080,"Meets"
"246","2023-2024","108232226","Algebra I","S",4080,"Meets"
"247","2023-2024","108138876","Algebra I","S",3720,"Approaches"
"248","2023-2024","108138876","Algebra I","S",3720,"Approaches"
"249","2023-2024","108137086","Algebra I","S",3720,"Approaches"
"250","2023-2024","108137086","Algebra I","S",3720,"Approaches"
"251","2023-2024","108053330","Algebra I","S",3937,"Approaches"
"252","2023-2024","108053330","Algebra I","S",3937,"Approaches"
"253","2023-2024","108048655","Algebra I","S",4796,"Masters"
"254","2023-2024","108048655","Algebra I","S",4796,"Masters"
"255","2023-2024","108049240","Algebra I","S",4190,"Meets"
"256","2023-2024","108049240","Algebra I","S",4190,"Meets"
"257","2023-2024","108057968","Algebra I","S",3489,"Did not meet"
"258","2023-2024","108160954","Algebra I","S",4476,"Masters"
"259","2023-2024","108160954","Algebra I","S",4476,"Masters"
"260","2023-2024","108150541","Algebra I","S",4522,"Masters"
"261","2023-2024","108150541","Algebra I","S",4522,"Masters"
"262","2023-2024","108078712","Algebra I","S",4044,"Meets"
"263","2023-2024","108078712","Algebra I","S",4044,"Meets"
"264","2023-2024","108055207","Algebra I","S",3444,"Did not meet"
"265","2023-2024","108055207","Algebra I","S",3444,"Did not meet"
"266","2023-2024","108050590","Algebra I","S",4388,"Masters"
"267","2023-2024","108050590","Algebra I","S",4388,"Masters"
"268","2023-2024","108049861","Algebra I","S",4388,"Masters"
"269","2023-2024","108049861","Algebra I","S",4388,"Masters"
"270","2023-2024","108232221","Algebra I","S",3865,"Approaches"
"271","2023-2024","108232221","Algebra I","S",3865,"Approaches"
"272","2023-2024","108049105","Algebra I","S",4000,"Meets"
"273","2023-2024","108049105","Algebra I","S",4000,"Meets"
"274","2023-2024","108158493","Algebra I","S",3794,"Approaches"
"275","2023-2024","108158493","Algebra I","S",3794,"Approaches"
"276","2023-2024","108106222","Algebra I","S",3972,"Approaches"
"277","2023-2024","108106222","Algebra I","S",3972,"Approaches"
"278","2023-2024","108055210","Algebra I","S",5119,"Masters"
"279","2023-2024","108055210","Algebra I","S",5119,"Masters"
"280","2023-2024","108179381","Algebra I","S",3355,"Did not meet"
"281","2023-2024","108179381","Algebra I","S",3355,"Did not meet"
"282","2023-2024","108048513","Algebra I","S",4116,"Meets"
"283","2023-2024","108048513","Algebra I","S",4116,"Meets"
"284","2023-2024","108048971","Algebra I","S",3972,"Approaches"
"285","2023-2024","108048971","Algebra I","S",3972,"Approaches"
"286","2023-2024","108049274","Algebra I","S",4431,"Masters"
"287","2023-2024","108049274","Algebra I","S",4431,"Masters"
"288","2023-2024","108048366","Algebra I","S",4522,"Masters"
"289","2023-2024","108048366","Algebra I","S",4522,"Masters"
"290","2023-2024","108051735","Algebra I","S",5119,"Masters"
"291","2023-2024","108051735","Algebra I","S",5119,"Masters"
"292","2023-2024","108137062","Algebra I","S",4622,"Masters"
"293","2023-2024","108137062","Algebra I","S",4622,"Masters"
"294","2023-2024","108232202","Algebra I","S",3972,"Approaches"
"295","2023-2024","108232202","Algebra I","S",3972,"Approaches"
"296","2023-2024","108048377","Algebra I","S",4116,"Meets"
"297","2023-2024","108048377","Algebra I","S",4116,"Meets"
"298","2023-2024","108049874","Algebra I","S",4190,"Meets"
"299","2023-2024","108049874","Algebra I","S",4190,"Meets"
"300","2023-2024","108155214","Algebra I","S",3720,"Approaches"
"301","2023-2024","108155214","Algebra I","S",3720,"Approaches"
"302","2023-2024","108232224","Algebra I","S",3607,"Approaches"
"303","2023-2024","108232224","Algebra I","S",3607,"Approaches"
"304","2023-2024","108193639","Algebra I","S",4116,"Meets"
"305","2023-2024","108193639","Algebra I","S",4116,"Meets"
"306","2023-2024","108042455","Algebra I","S",3972,"Approaches"
"307","2023-2024","108042455","Algebra I","S",3972,"Approaches"
"308","2023-2024","108049175","Algebra I","S",4190,"Meets"
"309","2023-2024","108049175","Algebra I","S",4190,"Meets"
"310","2023-2024","108049166","Algebra I","S",4476,"Masters"
"311","2023-2024","108049166","Algebra I","S",4476,"Masters"
"312","2023-2024","108063085","Algebra I","S",3400,"Did not meet"
"313","2023-2024","108063085","Algebra I","S",3400,"Did not meet"
"314","2023-2024","108048416","Algebra I","S",3400,"Did not meet"
"315","2023-2024","108048416","Algebra I","S",3400,"Did not meet"
"316","2023-2024","108048416","Algebra I","S",3400,"Did not meet"
"317","2023-2024","108048416","Algebra I","S",3400,"Did not meet"
"318","2023-2024","108232191","Algebra I","S",3489,"Did not meet"
"319","2023-2024","108232191","Algebra I","S",3489,"Did not meet"
"320","2023-2024","108244032","Algebra I","S",4190,"Meets"
"321","2023-2024","108244032","Algebra I","S",4190,"Meets"
"322","2023-2024","108049063","Algebra I","S",5119,"Masters"
"323","2023-2024","108049063","Algebra I","S",5119,"Masters"
"324","2023-2024","108093339","Algebra I","S",4267,"Meets"
"325","2023-2024","108093339","Algebra I","S",4267,"Meets"
"326","2023-2024","108149174","Algebra I","S",3720,"Approaches"
"327","2023-2024","108149174","Algebra I","S",3720,"Approaches"
"328","2023-2024","108048943","Algebra I","S",4863,"Masters"
"329","2023-2024","108048943","Algebra I","S",4863,"Masters"
"330","2023-2024","108136964","Algebra I","S",4522,"Masters"
"331","2023-2024","108136964","Algebra I","S",4522,"Masters"
"332","2023-2024","108048587","Algebra I","S",3972,"Approaches"
"333","2023-2024","108048587","Algebra I","S",3972,"Approaches"
"334","2023-2024","108111658","Algebra I","S",3830,"Approaches"
"335","2023-2024","108111658","Algebra I","S",3830,"Approaches"
"336","2023-2024","108048100","Algebra I","S",4000,"Meets"
"337","2023-2024","108048100","Algebra I","S",4000,"Meets"
"338","2023-2024","108086572","Algebra I","S",4938,"Masters"
"339","2023-2024","108086572","Algebra I","S",4938,"Masters"
"340","2023-2024","108048104","Algebra I","S",4571,"Masters"
"341","2023-2024","108048104","Algebra I","S",4571,"Masters"
"342","2023-2024","108051215","Algebra I","S",4345,"Masters"
"343","2023-2024","108051215","Algebra I","S",4345,"Masters"
"344","2023-2024","108040189","Algebra I","S",3972,"Approaches"
"345","2023-2024","108045762","Algebra I","S",3489,"Did not meet"
"346","2023-2024","108053019","Algebra I","S",3937,"Approaches"
"347","2023-2024","108053019","Algebra I","S",3937,"Approaches"
"348","2023-2024","108100255","Algebra I","S",4228,"Meets"
"349","2023-2024","108100255","Algebra I","S",4228,"Meets"
"350","2023-2024","108085929","Algebra I","S",4388,"Masters"
"351","2023-2024","108137083","Algebra I","S",3865,"Approaches"
"352","2023-2024","108137083","Algebra I","S",3865,"Approaches"
"353","2023-2024","108049868","Algebra I","S",4431,"Masters"
"354","2023-2024","108049868","Algebra I","S",4431,"Masters"
"355","2023-2024","108154870","Algebra I","S",3937,"Approaches"
"356","2023-2024","108154870","Algebra I","S",3937,"Approaches"
"357","2023-2024","108191834","Algebra I","S",4080,"Meets"
"358","2023-2024","108191834","Algebra I","S",4080,"Meets"
"359","2023-2024","108137068","Algebra I","S",4306,"Meets"
"360","2023-2024","108137068","Algebra I","S",4306,"Meets"
"361","2023-2024","108048893","Algebra I","S",4080,"Meets"
"362","2023-2024","108048893","Algebra I","S",4080,"Meets"
"363","2023-2024","108137070","Algebra I","S",4571,"Masters"
"364","2023-2024","108137070","Algebra I","S",4571,"Masters"
"365","2023-2024","108039768","Algebra I","S",3720,"Approaches"
"366","2023-2024","108039768","Algebra I","S",3720,"Approaches"
"367","2023-2024","108078716","Algebra I","S",4306,"Meets"
"368","2023-2024","108078716","Algebra I","S",4306,"Meets"
"369","2023-2024","108051963","Algebra I","S",3794,"Approaches"
"370","2023-2024","108051963","Algebra I","S",3794,"Approaches"
"371","2023-2024","108232205","Algebra I","S",3865,"Approaches"
"372","2023-2024","108232205","Algebra I","S",3865,"Approaches"
"373","2023-2024","108232219","Algebra I","S",3683,"Approaches"
"374","2023-2024","108232219","Algebra I","S",3683,"Approaches"
"375","2023-2024","108232219","Algebra I","S",3683,"Approaches"
"376","2023-2024","108039708","Algebra I","S",4044,"Meets"
"377","2023-2024","108039708","Algebra I","S",4044,"Meets"
"378","2023-2024","108121624","Algebra I","S",4267,"Meets"
"379","2023-2024","108121624","Algebra I","S",4267,"Meets"
"380","2023-2024","108053170","Algebra I","S",4431,"Masters"
"381","2023-2024","108053170","Algebra I","S",4431,"Masters"
"382","2023-2024","108039438","Algebra I","S",4522,"Masters"
"383","2023-2024","108039438","Algebra I","S",4522,"Masters"
"384","2023-2024","108200611","Algebra I","S",3486,"Did not meet"
"385","2023-2024","108200611","Algebra I","S",3486,"Did not meet"
"386","2023-2024","108078772","Algebra I","S",4431,"Masters"
"387","2023-2024","108078772","Algebra I","S",4431,"Masters"
"388","2023-2024","108119942","Algebra I","S",4228,"Meets"
"389","2023-2024","108119942","Algebra I","S",4228,"Meets"
"390","2023-2024","108048629","Algebra I","S",4938,"Masters"
"391","2023-2024","108048629","Algebra I","S",4938,"Masters"
"392","2023-2024","108038319","Algebra I","S",6430,"Masters"
"393","2023-2024","108049860","Algebra I","S",4044,"Meets"
"394","2023-2024","108049860","Algebra I","S",4044,"Meets"
"395","2023-2024","108124699","Algebra I","S",3937,"Approaches"
"396","2023-2024","108124699","Algebra I","S",3937,"Approaches"
"397","2023-2024","108049160","Algebra I","S",4345,"Masters"
"398","2023-2024","108049160","Algebra I","S",4345,"Masters"
"399","2023-2024","108201647","Algebra I","S",3355,"Did not meet"
"400","2023-2024","108049113","Algebra I","S",3972,"Approaches"
"401","2023-2024","108049113","Algebra I","S",3972,"Approaches"
"402","2023-2024","108074381","Algebra I","S",4116,"Meets"
"403","2023-2024","108074381","Algebra I","S",4116,"Meets"
"404","2023-2024","108185735","Algebra I","S",3258,"Did not meet"
"405","2023-2024","108137643","Algebra I","S",3794,"Approaches"
"406","2023-2024","108065303","Algebra I","S",3683,"Approaches"
"407","2023-2024","108065303","Algebra I","S",3683,"Approaches"
"408","2023-2024","108234573","Algebra I","S",4080,"Meets"
"409","2023-2024","108234573","Algebra I","S",4080,"Meets"
"410","2023-2024","108234573","Algebra I","S",4080,"Meets"
"411","2023-2024","108048696","Algebra I","S",4116,"Meets"
"412","2023-2024","108048696","Algebra I","S",4116,"Meets"
"413","2023-2024","108053555","Algebra I","S",4228,"Meets"
"414","2023-2024","108053555","Algebra I","S",4228,"Meets"
"415","2023-2024","108161940","Algebra I","S",3258,"Did not meet"
"416","2023-2024","108232423","Biology","S",3621,"Approaches"
"417","2023-2024","108123355","Biology","S",3968,"Approaches"
"418","2023-2024","108123355","Biology","S",3968,"Approaches"
"419","2023-2024","108039443","Biology","S",4123,"Meets"
"420","2023-2024","108051681","Biology","S",4123,"Meets"
"421","2023-2024","108051990","Biology","S",4238,"Meets"
"422","2023-2024","108100627","Biology","S",4123,"Meets"
"423","2023-2024","108051030","Biology","S",3968,"Approaches"
"424","2023-2024","108045762","Biology","S",4000,"Meets"
"425","2023-2024","108137632","Biology","S",4238,"Meets"
"426","2023-2024","108062896","Biology","S",4123,"Meets"
"427","2023-2024","108081290","Biology","S",4316,"Meets"
"428","2023-2024","108052513","Biology","S",4356,"Meets"
"429","2023-2024","108039476","Biology","S",4200,"Meets"
"430","2023-2024","108251988","Biology","S",4046,"Meets"
"431","2023-2024","108146603","Biology","S",4316,"Meets"
"432","2023-2024","108246236","Biology","S",4277,"Meets"
"433","2023-2024","108038467","Biology","S",4277,"Meets"
"434","2023-2024","108070210","Biology","S",4531,"Masters"
"435","2023-2024","108053563","Biology","S",4479,"Meets"
"436","2023-2024","108039548","Biology","S",4238,"Meets"
"437","2023-2024","108039493","Biology","S",4479,"Meets"
"438","2023-2024","108053073","Biology","S",4531,"Masters"
"439","2023-2024","108078678","Biology","S",3621,"Approaches"
"440","2023-2024","108040613","Biology","S",4437,"Meets"
"441","2023-2024","108047967","Biology","S",4660,"Masters"
"442","2023-2024","108050059","Biology","S",4522,"Meets"
"443","2023-2024","108052199","Biology","S",3759,"Approaches"
"444","2023-2024","108146604","Biology","S",4396,"Meets"
"445","2023-2024","108074619","Biology","S",4238,"Meets"
"446","2023-2024","108053178","Biology","S",4238,"Meets"
"447","2023-2024","108040588","Biology","S",4277,"Meets"
"448","2023-2024","108085929","Biology","S",4277,"Meets"
"449","2023-2024","108185730","Biology","S",4531,"Masters"
"450","2023-2024","108038751","Biology","S",4238,"Meets"
"451","2023-2024","108051575","Biology","S",4162,"Meets"
"452","2023-2024","108039449","Biology","S",4479,"Meets"
"453","2023-2024","108078932","Biology","S",3845,"Approaches"
"454","2023-2024","108194873","Biology","S",3715,"Approaches"
"455","2023-2024","108084865","Biology","S",4277,"Meets"
"456","2023-2024","108089448","Biology","S",3715,"Approaches"
"457","2023-2024","108052008","Biology","S",3139,"Did not meet"
"458","2023-2024","108057962","Biology","S",4162,"Meets"
"459","2023-2024","108053187","Biology","S",4479,"Meets"
"460","2023-2024","108039456","Biology","S",3928,"Approaches"
"461","2023-2024","108085928","Biology","S",3759,"Approaches"
